timestamp,velocity_m_s,pressure_bar,power_W,position_deg
1748353367.7207308,179.04635060488863,1.1158000000000001,199.77991800493476,206.0
1748353367.7313156,48.61650627512004,1.092,53.08922485243109,210.0
1748353367.7409558,48.61650627512004,1.092,53.08922485243109,210.0
1748353367.750922,48.61650627512004,1.092,53.08922485243109,210.0
1748353367.761262,48.61650627512004,1.092,53.08922485243109,210.0
1748353367.7714403,48.61650627512004,1.092,53.08922485243109,210.0
1748353367.7814467,48.61650627512004,1.092,53.08922485243109,210.0
1748353367.791521,48.61650627512004,1.092,53.08922485243109,210.0
1748353367.801378,48.61650627512004,1.092,53.08922485243109,210.0
1748353367.810397,48.61650627512004,1.092,53.08922485243109,210.0
1748353367.8204343,48.61650627512004,1.092,53.08922485243109,210.0
1748353367.8310077,19.556372029048013,1.0801000000000003,21.122837428574766,212.0
1748353367.84107,19.556372029048013,1.0801000000000003,21.122837428574766,212.0
1748353367.8508584,19.556372029048013,1.0801000000000003,21.122837428574766,212.0
1748353367.8608382,19.556372029048013,1.0801000000000003,21.122837428574766,212.0
1748353367.8708124,19.556372029048013,1.0801000000000003,21.122837428574766,212.0
1748353367.8807833,19.556372029048013,1.0801000000000003,21.122837428574766,212.0
1748353367.8907557,19.556372029048013,1.0801000000000003,21.122837428574766,212.0
1748353367.9007275,19.556372029048013,1.0801000000000003,21.122837428574766,212.0
1748353367.9107392,19.556372029048013,1.0801000000000003,21.122837428574766,212.0
1748353367.9213026,19.556372029048013,1.0801000000000003,21.122837428574766,212.0
1748353367.9305089,-30.294720115565188,1.092,33.081834366197185,209.0
1748353367.940748,-30.294720115565188,1.092,33.081834366197185,209.0
1748353367.9505308,-30.294720115565188,1.092,33.081834366197185,209.0
1748353367.9611537,-30.294720115565188,1.092,33.081834366197185,209.0
1748353367.9704223,-30.294720115565188,1.092,33.081834366197185,209.0
1748353367.9808545,-30.294720115565188,1.092,33.081834366197185,209.0
1748353367.9915302,-30.294720115565188,1.092,33.081834366197185,209.0
1748353368.0010881,-30.294720115565188,1.092,33.081834366197185,209.0
1748353368.0110655,-30.294720115565188,1.092,33.081834366197185,209.0
1748353368.0210392,-30.294720115565188,1.092,33.081834366197185,209.0
1748353368.0310135,-49.01743183167461,1.1158000000000001,54.69365043778253,204.0
1748353368.040865,-49.01743183167461,1.1158000000000001,54.69365043778253,204.0
1748353368.0507295,-49.01743183167461,1.1158000000000001,54.69365043778253,204.0
1748353368.0616992,-49.01743183167461,1.1158000000000001,54.69365043778253,204.0
1748353368.0706768,-49.01743183167461,1.1158000000000001,54.69365043778253,204.0
1748353368.0808787,-49.01743183167461,1.1158000000000001,54.69365043778253,204.0
1748353368.0908525,-49.01743183167461,1.1158000000000001,54.69365043778253,204.0
1748353368.1008286,-49.01743183167461,1.1158000000000001,54.69365043778253,204.0
1748353368.110991,-49.01743183167461,1.1158000000000001,54.69365043778253,204.0
1748353368.1211498,-49.01743183167461,1.1158000000000001,54.69365043778253,204.0
1748353368.1312761,-68.41747527567276,1.1633999999999998,79.59689073571766,197.0
1748353368.1409664,-68.41747527567276,1.1633999999999998,79.59689073571766,197.0
1748353368.1506343,-68.41747527567276,1.1633999999999998,79.59689073571766,197.0
1748353368.1616974,-68.41747527567276,1.1633999999999998,79.59689073571766,197.0
1748353368.1704664,-68.41747527567276,1.1633999999999998,79.59689073571766,197.0
1748353368.1808496,-68.41747527567276,1.1633999999999998,79.59689073571766,197.0
1748353368.1913705,-68.41747527567276,1.1633999999999998,79.59689073571766,197.0
1748353368.2010694,-68.41747527567276,1.1633999999999998,79.59689073571766,197.0
1748353368.210927,-68.41747527567276,1.1633999999999998,79.59689073571766,197.0
